,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
12969,22793,850641,1,Miscellaneous,Gear,2013,Darth Maul Magnet,,,True,850641-1
12970,22743,850642,1,Miscellaneous,Gear,2013,Stormtrooper Magnet,,,True,850642-1
12971,22744,850643,1,Miscellaneous,Gear,2013,Boba Fett Magnet,,,True,850643-1
12972,22745,850644,1,Miscellaneous,Gear,2013,Yoda Magnet,,,True,850644-1
12973,22602,850646,1,Miscellaneous,Gear,2013,Teenage Mutant Ninja Turtles Donatello Key Chain,,,True,850646-1
12974,22598,850648,1,Miscellaneous,Gear,2013,Teenage Mutant Ninja Turtles Leonardo Key Chain,,,True,850648-1
12975,22594,850653,1,Miscellaneous,Gear,2013,Teenage Mutant Ninja Turtles Michelangelo Key Chain,,,True,850653-1
12976,22603,850656,1,Miscellaneous,Gear,2013,Teenage Mutant Ninja Turtles Raphael Key Chain,,,True,850656-1
12977,23017,850657,1,Miscellaneous,Gear,2013,The Lone Ranger Key Chain,,,True,850657-1
12978,23019,850663,1,Miscellaneous,Gear,2013,The Lone Ranger Tonto Key Chain,,,True,850663-1
12979,22746,850664,1,Miscellaneous,Gear,2013,Batman Magnet,,,True,850664-1
12980,22792,850666,1,Miscellaneous,Gear,2013,Spider-Man Magnet,,,True,850666-1
12981,22747,850670,1,Miscellaneous,Gear,2013,Superman Magnet,,,True,850670-1
12982,22781,850673,1,Miscellaneous,Gear,2013,Iron Man Magnet,,,True,850673-1
12983,22591,850674,1,Miscellaneous,Gear,2013,Frodo Baggins Key Chain,,,True,850674-1
12984,22590,850680,1,Miscellaneous,Gear,2013,Bilbo Baggins Key Chain,,,True,850680-1
12985,22748,850681,1,Miscellaneous,Gear,2013,Frodo Baggins Magnet,,,True,850681-1
12986,22749,850682,1,Miscellaneous,Gear,2013,Bilbo Baggins Magnet,,,True,850682-1
12987,22581,850686,1,Miscellaneous,Gear,2013,Notebook with Studs,,,True,850686-1
12988,22648,850687,1,Miscellaneous,Gear,2004,"NBA, Nuggets 04 ",,,True,850687-1
12989,22409,850691,1,Miscellaneous,Gear,2003,"NBA, Heat 04 ",,,True,850691-1
12990,22410,850698,1,Miscellaneous,Gear,2003,"NBA, New Orleans 04",,,True,850698-1
12991,22582,850702,1,Miscellaneous,Miscellaneous,2013,Classic Picture Frame,1.0,55.0,True,850702-1
12992,22586,850705,1,Miscellaneous,Gear,2013,Salt and Pepper Set,,,True,850705-1
12993,26945,850707,1,Miscellaneous,Gear,2004,Pirate photo frame,,,True,850707-1
12994,22836,850751,1,Miscellaneous,Miscellaneous,2013,Orlando Picture Frame,,102.0,True,850751-1
12995,23274,850752,1,Miscellaneous,Gear,2013,Paris Key Chain,,,True,850752-1
12996,22908,850760,1,Miscellaneous,Gear,2013,Paris minifig magnet,,,True,850760-1
12997,22877,850761,1,Miscellaneous,Gear,2013,Germany Key Chain,,,True,850761-1
12998,22810,850771,1,Miscellaneous,Gear,2013,LEGO Brickley Bag Charm,,,True,850771-1
12999,22787,850775,1,Miscellaneous,Gear,2013,Legends of Chima Speedorz Storage Bag ,,,True,850775-1
13000,22795,850776,1,Miscellaneous,Gear,2013,Legends of Chima Playmat,,,True,850776-1
13001,22806,850777,1,Action/Adventure,Legends of Chima,2013,Legends of Chima Accessory Set,,34.0,True,850777-1
13002,22805,850779,1,Action/Adventure,Legends of Chima,2013,Legends of Chima Minifigure Accessory Set,4.0,42.0,True,850779-1
13003,22791,850781,1,Miscellaneous,Gear,2013,Friends Carry Case House,,,True,850781-1
13004,22799,850789,1,Miscellaneous,Gear,2013,Friends Horse Bag Charm,,,True,850789-1
13005,22800,850791,1,Miscellaneous,Seasonal,2013,LEGO Minifigure Birthday Set,2.0,28.0,True,850791-1
13006,22801,850794,1,Miscellaneous,Gear,2013,LEGO Family Car Stickers,,,True,850794-1
13007,22798,850797,1,Miscellaneous,Gear,2013,LEGO Classic Wall Stickers,,,True,850797-1
13008,22796,850798,1,Miscellaneous,Gear,2013,LEGO Classic Name Sign,,,True,850798-1
13009,22788,850800,1,Miscellaneous,Gear,2013,Hedgehog Bag Charm,,,True,850800-1
13010,23281,850801,1,Miscellaneous,Gear,2011,Tokyo Key Chain,,,True,850801-1
13011,23282,850802,1,Miscellaneous,Gear,2011,Tokyo Magnet,,,True,850802-1
13012,26046,850805,1,Miscellaneous,Gear,2016,Drinking Bottle—Blue,,,True,850805-1
13013,26074,850806,1,Miscellaneous,Gear,2016,Drinking Bottle Pink,,,True,850806-1
13014,22797,850807,1,Miscellaneous,Gear,2013,Gold Minifigure Key Chain,,,True,850807-1
13015,22802,850808,1,Miscellaneous,Gear,2013,Gold 2 x 4 Stud Key Chain,,,True,850808-1
13016,23020,850813,1,Miscellaneous,Gear,2013,DC Universe Super Heroes Superman Key Chain,,,True,850813-1
13017,22803,850814,1,Miscellaneous,Gear,2013,Marvel Super Heroes The Hulk Key Chain ,,,True,850814-1
13018,22804,850815,1,Miscellaneous,Gear,2013,DC Universe Super Heroes Arctic Batman Key Chain,,,True,850815-1
13019,26047,850817,1,Miscellaneous,Gear,2016,Drinking Bottle,,,True,850817-1
13020,22760,850838,1,Miscellaneous,Gear,2013,Splinter Key Chain,,,True,850838-1
13021,22996,850839,1,Historical,Pirates,2013,Classic Pirate Set,4.0,39.0,True,850839-1
